Date,Quantity,Product_ID
21/06/2020,-5,103077
21/06/2020,-1,104112
21/06/2020,-5,103267
21/06/2020,-1,100064
21/06/2020,-1,100131
21/06/2020,-1,100663
21/06/2020,-1000,103099
21/06/2020,-2,100040
21/06/2020,-1,666666
21/06/2020,-1,101652
21/06/2020,-5,103132
21/06/2020,-2,102276
21/06/2020,-2,101652
21/06/2020,-1,100526
21/06/2020,-17,103075
21/06/2020,-1,102328
21/06/2020,-1,100526
21/06/2020,-1,100577
21/06/2020,-1,100570
21/06/2020,-1,102746
21/06/2020,-1,666666
21/06/2020,-2,102823
21/06/2020,-9,102620
21/06/2020,-1,102563
21/06/2020,-10,103086
21/06/2020,-1,102000
21/06/2020,-1,100162
21/06/2020,-1,200017
21/06/2020,-1,102352
21/06/2020,-1,102598
21/06/2020,-2,101652
21/06/2020,-1,102352
21/06/2020,-2,102704
21/06/2020,-1,100110
21/06/2020,-8,103301
21/06/2020,-3,100866
21/06/2020,-500,102746
21/06/2020,250,100300
21/06/2020,50,102853
21/06/2020,-2,101425
21/06/2020,-1,200013
21/06/2020,-4,100526
21/06/2020,-2,100232
21/06/2020,-1,100118
21/06/2020,-3,102293
21/06/2020,-1,103132
21/06/2020,-1,100570
21/06/2020,-10,103987
21/06/2020,-10,100166
21/06/2020,-2,200001
21/06/2020,-2,102271
21/06/2020,-1,103126
21/06/2020,-10,100426
21/06/2020,-1,200017
21/06/2020,-1,200010
21/06/2020,-3,100060
21/06/2020,-4,101652
21/06/2020,-1,100322
21/06/2020,-1,102109
21/06/2020,1000,100736
21/06/2020,-5,103860
21/06/2020,-2,103075
21/06/2020,-60,102634
21/06/2020,-10,103086
21/06/2020,-1,102327
21/06/2020,-1,104111
21/06/2020,-1,100602
21/06/2020,-1,102057
21/06/2020,-1,100131
21/06/2020,-3,200015
21/06/2020,-2,100663
21/06/2020,-2,102058
21/06/2020,-10,103987
21/06/2020,-6,102422
21/06/2020,-10,100250
21/06/2020,-2,200018
21/06/2020,-3,103303
21/06/2020,-1,102564
21/06/2020,-1,102327
21/06/2020,-1,200015
21/06/2020,2,103125
21/06/2020,-5,103077
21/06/2020,-2,103327
21/06/2020,-2,100059
21/06/2020,-4,100663
21/06/2020,-1,100118
21/06/2020,-10,103267
21/06/2020,-10,103075
